subject_id,reactionTime,choices_1,choices_2,correct,image_idx
433368,1018.5,2,4,1,44
433368,1074.5,4,2,1,87
433368,NaN,1,4,NaN,31
433368,923.90000000596,1,6,1,25
433368,810.40000000596,9,7,1,180
433368,878.29999999702,5,1,1,31
433368,1118.09999999404,7,5,1,103
433368,974.29999999702,1,2,1,46
433368,1022,3,2,1,41
433368,900.600000008941,6,1,1,25
433368,964.899999991059,4,7,1,142
433368,1112.89999999106,1,2,1,25
433368,1291.29999999702,3,6,1,76
433368,893.59999999404,3,4,1,76
433368,1151.10000000894,5,1,1,105
433368,835.79999999702,5,9,1,191
433368,1496.5,8,3,1,63
433368,1994.39999999106,0,6,1,122
433368,896,1,0,1,24
433368,1268.79999999702,0,4,0,86
433368,882.79999999702,7,1,1,24
433368,1132,9,1,1,199
433368,899.699999988079,2,8,1,172
433368,1041.70000000298,1,7,1,144
433368,1032.40000000596,0,7,1,142
433368,886.699999988079,8,9,1,161
433368,1049,6,8,1,161
433368,899.09999999404,4,5,1,81
433368,969.20000000298,5,4,1,81
433368,856.79999999702,2,1,1,41
433368,1366.59999999404,8,6,1,122
433368,846.59999999404,9,7,1,199
433368,1423.09999999404,1,0,1,0
433368,921,1,2,1,22
433368,846.09999999404,5,6,1,130
433368,971.20000000298,0,8,1,173
433368,2121.59999999404,3,1,1,63
916174,891.79999999702,4,8,1,85
916174,1025.59999999404,8,4,1,81
916174,1569.09999999404,1,3,1,63
916174,818,4,7,1,143
916174,775.09999999404,0,6,1,18
916174,1153.59999999404,7,8,1,172
916174,737.79999999702,0,7,1,0
916174,883,5,7,1,143
916174,722.09999999404,5,6,1,105
916174,1107.09999999404,6,0,1,123
916174,847.70000000298,4,3,1,81
916174,1125.60000000894,4,8,1,86
916174,818.399999991059,2,6,1,54
916174,1010.5,9,2,1,46
916174,751.09999999404,0,5,1,105
916174,838.5,2,0,1,46
916174,1141.20000000298,8,0,1,173
916174,1291.69999998808,4,1,1,86
916174,831.40000000596,7,1,1,140
916174,1243,9,1,1,25
916174,1023.79999999702,1,3,1,70
916174,1030.90000000596,9,1,1,24
916174,708.59999999404,9,0,1,191
916174,725.600000008941,5,2,1,105
916174,1313.90000000596,8,4,1,85
916174,854.5,7,3,1,70
916174,952.70000000298,3,1,1,70
916174,883.90000000596,7,6,1,144
916174,991.09999999404,3,5,1,102
916174,812.300000011921,1,8,1,31
916174,940.79999999702,3,8,1,76
916174,996.70000000298,4,1,1,25
916174,1342.39999999106,3,8,1,163
916174,765.29999999702,0,8,1,161
916174,971.100000008941,7,4,1,81
916174,922.40000000596,8,3,1,76
916174,848.09999999404,8,6,1,123
916174,808.899999991059,9,3,1,187
916174,857.29999999702,4,2,1,81
916174,1365.19999998808,4,7,1,87
916174,717,4,9,1,191
916174,780.899999991059,2,4,1,46
916174,926.399999991059,8,5,1,163
916174,745.899999991059,8,5,1,103
916174,1008.79999999702,1,4,1,25
916174,1028.19999998808,1,8,1,163
916174,961.90000000596,0,5,1,2
916174,1866.10000000894,1,5,1,103
916174,781.20000000298,4,2,1,86
916174,724.29999999702,0,9,1,191
916174,2107.20000000298,8,7,1,142
916174,1311.29999999702,3,5,0,63
916174,734.100000008941,0,9,1,0
916174,1023.90000000596,4,0,1,8
916174,997.100000008941,0,4,1,8
916174,1605.10000000894,3,6,1,120
916174,760.5,4,2,1,41
916174,751.699999988079,3,1,1,68
916174,693.40000000596,0,9,1,180
916174,690.899999991059,5,6,1,123
958274,1654.59999999404,4,0,1,81
958274,1395.90000000596,5,3,1,63
958274,1309.30000001192,9,2,1,54
958274,1258.90000000596,2,1,1,31
958274,1453.20000001788,5,7,1,142
958274,1444.30000001192,8,2,1,44
958274,1510.90000000596,7,0,1,2
958274,1421.10000002384,8,2,1,173
958274,1252.29999998212,5,9,1,101
958274,1252,8,0,1,2
958274,1578.80000001192,3,2,1,54
958274,1871.39999997616,7,3,1,140
958274,2910.10000002384,6,9,1,130
958274,1541.19999998808,1,4,1,87
958274,1461,6,5,1,120
958274,1237,7,8,1,140
958274,1140.90000000596,2,9,1,41
958274,1107.40000000596,2,3,1,44
958274,1084.39999997616,2,1,1,54
958274,1197.30000001192,0,1,1,24
958274,1413.5,3,8,1,173
958274,1179.89999997616,3,9,1,68
958274,1412.89999997616,3,4,1,85
958274,1377.10000002384,3,1,1,31
958274,1284.09999999404,0,4,1,81
958274,NaN,8,9,NaN,172
958274,1431.80000001192,8,1,1,24
958274,1149.40000000596,1,9,1,22
958274,1516.80000001192,5,0,1,0
958274,1326.10000002384,4,1,1,24
958274,1295.09999999404,2,7,1,142
958274,1453.29999998212,1,2,1,31
958274,1075.59999999404,4,3,1,85
958274,1386.5,4,6,1,120
958274,1116.80000001192,0,8,1,18
958274,1478,8,3,1,163
958274,1102.5,9,6,1,180
958274,1331.40000000596,1,3,1,76
958274,1443.70000001788,3,8,1,68
958274,1219,6,9,1,120
958274,1427.80000001192,6,5,1,123
958274,1409.40000000596,6,7,1,143
958274,1444.30000001192,2,4,1,41
